# medallion, shift duration
u'628CE2780A71A6D9C21812E8AE6E90AD', '9:41:11'
u'62466D7C700FF53E0F422E5A4A90B9EE', '9:32:38'
u'622A6ECE0E3BDFA54272E2270916B711', '9:54:05'
u'60C35619DF472BC34C6D6ACC4C749B9E', '9:34:00'
u'60B2534B3E4D3F72BA1DACF4BCD4E4F5', '9:40:00'
u'5F9C08A05F6449EE31F056AEB85855BB', '9:48:00'
u'5D63FB016317B47B87D516019E0D5E92', '9:40:01'
u'5D5934666758DDC54C51327AE55FD279', '9:35:37'
u'5CF6A9AD092A5743F7C8173A0C30E34D', '9:59:38'
u'5C8E719293269BA2AA48E22F3F8F49C3', '9:38:07'
u'5BFFF6A2745737CEFE829A85167CA6C6', '9:42:00'
u'5AE3B5CB66372E9C590F815E573DBBA0', '9:45:12'
u'59F15CDE7759C0E951BDEBA648620422', '9:45:09'
u'5943FA32855CEA9401FF1774F28AA42C', '9:51:00'
u'587CAD25EB42B1C565FEB54C2AF5DA1C', '9:48:35'
u'5830BCD07955EFFBEEFD253EA4C47F4B', '9:32:00'
u'581F7B53AA300DE1B19CF065C420941E', '9:54:00'
u'57E8E649531AB88071D6C886FDCDB1B5', '9:41:21'
u'56DD5BCBDD7DE1F36A455AA7FAEA7C88', '9:47:00'
u'5587E479011B2B90ACED4B7CD652C283', '9:54:00'
u'4F6A604D060A9F19529B0854517C323C', '9:57:12'
u'4DF3F6681AD52C016BF719025AB87EA1', '9:31:34'
u'4A7ECBD27554D95982D5A56D060D992E', '9:51:10'
u'4771C548030B9F514A19FCBBB466935D', '9:47:00'
u'474C0EE2B16884B48A8FEDF1C2B2C4F7', '9:55:00'
u'4606E7966DB389133D55C6A1B0EC9356', '9:41:00'
u'458F332416DF364D2E0DC522F2D3CC02', '9:30:51'
u'44E7AEF6BD3E3ADB474A96FEA61842E4', '9:41:20'
u'446E1B1F55E0453FF2B561AD7B69D3AB', '9:32:00'
u'43EE741BA1397FECCE21070A51723179', '9:58:00'
u'43C09662C25340EAD83452D591E08FB5', '9:49:53'
u'413A87A437A91946394618A462B22A42', '9:38:53'
u'40A357B2687E506580A249EBFA396739', '9:38:35'
u'40747CD20676FD1F39BFBDED43A52816', '9:33:27'
u'406B9625D430FCA6B2013697CFF32082', '9:42:25'
u'3F13D5C7C5E7E54F4DE7B5BF124AC2E4', '9:47:22'
u'3BED17D927D04228ACF6CEB4E09B9740', '9:31:58'
u'3A3064CAC3C3AE5CC040C1EAF1B2F012', '9:44:23'
u'3A144622F70AAA6E33F32E2711C270B6', '9:46:00'
u'38C929BB62D52AA8E99CA695D74F690A', '9:41:28'
u'3869F0C7695A281D7379C134C5B3277F', '9:42:53'
u'36A5A5FA41BF6046493A8649E77BC4AE', '9:55:17'
u'366D3CD27B9B4132950D3ED32A40CB97', '9:55:03'
u'35C25E22F6ABB6966B7416421F777A0F', '9:50:35'
u'34BE59152742E2CCAB27FA7DCF3118A7', '9:40:00'
u'34191B0F711962DA5405CF75A7D520DD', '9:57:00'
u'31A7FA924AD69A1F87830F134A27996D', '9:32:36'
u'318C8A3F7A86A2AEB8AE572A661BB0BC', '9:45:00'
u'303F3C66E7FD96F8370C1D7C76F5585C', '9:43:00'
u'2F9981E41303FD4674BD82D8FD855B46', '9:50:19'
u'2AC118343392C57CF6FB7CE4EFA6C4D1', '9:34:10'
u'29709F5FD719686C5B3C7C993480F327', '9:33:28'
u'292BEF6413676773D0DBE0E0DCAFBDAE', '9:36:47'
u'282E88327FA32E0C655B1216A91125A6', '9:33:00'
u'28172009F5513B25F4091C0929C4515D', '9:44:00'
u'261C653BF512F63CE52FDB6268806A3D', '9:53:52'
u'256F2A84DA6B3A2CE241CD9CBB2C351E', '9:42:00'
u'2485C93000769827C9382442D3B943F2', '9:56:45'
u'235F4564A023104635A657F3B2156A9B', '9:37:45'
u'225884AD82DA75AF48664887B58F4495', '9:41:00'
u'20BA941F62CC07F1FA3EF3E122B1E9B2', '9:39:48'
u'205A696DF62AD03C88DA8C5EC5248639', '9:54:26'
u'1F853ACD16D9788363C0813359D4261E', '9:54:03'
u'1DEAF0880735434963F8A30B8BCD13AE', '9:52:02'
u'1C0EBBC3609D92D469FB545BFCC0A85C', '9:53:32'
u'1A8B31E8D8962A7DCA0DAC99BC65FBE0', '9:49:54'
u'1A575E39B0D761E6496F002F79E34D19', '9:35:00'
u'1A08A75D4F6A3BBD4D950B4926156880', '9:50:00'
u'1A03A6EF9E0C5BCF87AAC3AF21433DCA', '9:45:23'
u'18E0AA643B022890BCD418D8833FC67F', '9:43:50'
u'171FD91CBF0D6FABF499A9452A4950D5', '9:46:00'
u'14AEC1DCDF57B6E61E9CA10537256695', '9:40:32'
u'14475F676B7A5D14E50D773D71FE1F9D', '9:42:52'
u'141CCCA01C3B1D4C46AF4800AE395D03', '9:44:00'
u'13A5414AFFDE26BA4A3510BB3414FDCD', '9:39:00'
u'12F3E8991D106FEB762CD54FE337377A', '9:45:44'
u'124FF99D9330F4366E806B3BFB039D71', '9:46:00'
u'11FF9D3AAA55F9553717C2B491340E8E', '9:49:00'
u'11303D7084F16FEBE7AB3FBCC2B6B01C', '9:43:06'
u'10DF0FA4E3173365168379FE88357130', '9:45:00'
u'10A65502C3C190BFFDCB4194774C1026', '9:42:00'
u'0DB4BD0F6A4A3664C16573C16E3D3515', '9:47:00'
u'0BACB2C11491FA7639FD9F58B4E1AB6D', '9:48:46'
u'0B57B9633A2FECD3D3B1944AFC7471CF', '9:30:44'
u'09EE700858482DA94CCBC192D2208B10', '9:55:00'
u'07AB8362AB6ECF8ADAA218FC7758CB2A', '9:37:05'
u'06A38297515E1320AE12B85258FA27B6', '9:55:00'
u'05B5B0310C6F2F6A8D556547C1E18135', '9:51:36'
u'054771E4F54E98A8ED99F1AC2CE4BA4B', '9:38:20'
u'04F806B328E449389819D7EF253E2BC3', '9:50:37'
